Medida,Fecha,Body
P R0001,2010-11-11,C
P R0001,2011-06-13,C
P R0002,2010-05-10,S
P R0002,2010-06-30,S
P R0003,2010-06-25,S
P R0003,2010-11-11,C
P R0003,2010-11-16,C
P R0003,2011-12-05,C
P R0003,2011-12-21,C
P R0005,2010-06-25,C
P R0005,2010-06-30,C
P R0006,2010-06-23,S
P R0007,2010-06-25,C
P R0007,2010-06-30,C
P R0008,2011-06-09,S
P R0008,2011-11-15,S
P R0009,2011-11-10,C
P R0010,2010-11-10,S
P R0011,2011-09-26,C
P R0011,2011-10-10,C
P R0012,2011-10-24,S
P R0013,2011-12-14,C
P R0013,2011-12-21,C
