District,Leg_ID,Party,Start,End,Note,KW
0,"Bhatia Gautier, Eduardo",PPD,2013-01-02,2017-01-01,,Bhatia
7,"Dalmau Santiago, José L.",PPD,2013-01-02,2017-01-01,,Dalmau
0,"Fas Alzamora, Antonio",PPD,2013-01-02,2017-01-01,,Fas
4,"González López, María T.",PPD,2013-01-02,2017-01-01,,MaríaT
0,"López León, Rossana",PPD,2013-01-02,2017-01-01,,Rossana
3,"Martínez Santiago, Ángel R.",PNP,2013-01-02,2017-01-01,,MartínezSantiago
1,"Nadal Power, José R.",PPD,2013-01-02,2017-01-01,,Nadal
1,"Nieves Pérez, Ramón L.",PPD,2013-01-02,2017-01-01,,NievesPérez
0,"Nolasco Santiago, Margarita",PNP,2013-01-02,2017-01-01,,Nolasco
2,"Padilla Alvelo, Migdalia",PNP,2013-01-02,2017-01-01,,Padilla
0,"Peña Ramírez, Itzamar",PNP,2013-01-02,2017-01-01,,Peña
6,"Pereira Castillo, Miguel A.",PPD,2013-01-02,2017-01-01,,Pereira
3,"Pérez Rosa, José O.",PNP,2013-01-02,2017-01-01,,PérezRosa
2,"Ríos Santiago, Carmelo J.",PNP,2013-01-02,2017-01-01,,Carmelo
8,"Rivera Filomeno, Luis D.",PPD,2013-01-02,2017-01-01,,Filomeno
0,"Rivera Schatz, Thomas",PNP,2013-01-02,2017-01-01,,Schatz
8,"Rodríguez González, Pedro A.",PPD,2013-01-02,2017-01-01,,Pedro
6,"Rodríguez Otero, Ángel M.",PPD,2013-01-02,2017-01-01,,RodríguezOtero
4,"Rodríguez Valle, Gilberto",PPD,2013-01-02,2017-01-01,,Valle
0,"Rosa Rodriguez, Ángel R.",PPD,2013-01-02,2017-01-01,,RosaRodríguez
5,"Ruiz Nieves, Ramón",PPD,2013-01-02,2017-01-01,,RuizNieves
0,"Santiago Negrón, María de L.",PIP,2013-01-02,2017-01-01,,SantiagoNegrón
0,"Seilhamer Rodríguez, Lawrence N.",PNP,2013-01-02,2017-01-01,,Seilhamer
7,"Suárez Cáceres, Jorge",PPD,2013-01-02,2017-01-01,,Suárez
0,"Tirado Rivera, Cirilo",PPD,2013-01-02,2017-01-01,,Tirado
0,"Torres Torres, Aníbal J.",PPD,2013-01-02,2017-01-01,,Torres
5,"Vargas Morales, Martín",PPD,2013-01-02,2017-01-01,,Vargas
