Formal,
"Bhatia Gautier, Eduardo",Bhatia
"Dalmau Santiago, José L.",Dalmau
"Fas Alzamora, Antonio",Fas
"González López, María T.",MaríaT
"López León, Rossana",Rossana
"Martínez Santiago, Ángel R.",MartínezSantiago
"Nadal Power, José R.",Nadal
"Nieves Pérez, Ramón L.",NievesPérez
"Nolasco Santiago, Margarita",Nolasco
"Padilla Alvelo, Migdalia",Padilla
"Peña Ramírez, Itzamar",Peña
"Pereira Castillo, Miguel A.",Pereira
"Pérez Rosa, José O.",PérezRosa
"Ríos Santiago, Carmelo J.",Carmelo
"Rivera Filomeno, Luis D.",Filomeno
"Rivera Schatz, Thomas",Schatz
"Rodríguez González, Pedro A.",Pedro
"Rodríguez Otero, Ángel M.",RodríguezOtero
"Rodríguez Valle, Gilberto",Valle
"Rosa Rodriguez, Ángel R.",RosaRodríguez
"Ruiz Nieves, Ramón",RuizNieves
"Santiago Negrón, María de L.",SantiagoNegrón
"Seilhamer Rodríguez, Lawrence N.",Seilhamer
"Suárez Cáceres, Jorge",Suárez
"Tirado Rivera, Cirilo",Tirado
"Torres Torres, Aníbal J.",Torres
"Vargas Morales, Martín",Vargas
