measureid	voteid
53600	447
53601	436
53604	508
53608	461
53608	500
53609	507
53611	455
53611	636
53612	492
53617	665
53633	512
53643	545
53645	580
53645	601
53742	508
53760	657
53763	459
53780	466
53783	579
53783	600
53786	436
53791	491
53791	492
53796	703
53798	468
53799	625
53799	698
53800	504
53800	508
53813	460
53818	688
53825	472
53827	545
53834	443
53834	467
53846	511
53859	512
53860	436
53865	468
53868	436
53868	441
53871	478
53876	481
53876	501
53878	491
53881	458
53883	508
53883	581
53883	602
53884	634
53884	658
53885	451
53894	438
53894	484
53895	472
53899	462
53900	468
53909	429
53957	501
53987	579
53987	600
53987	614
53997	429
54008	428
54018	428
54051	639
54052	443
54059	449
54065	461
54077	490
54083	461
54084	506
54087	428
54089	460
54093	431
54096	492
54096	497
54098	437
54117	574
54117	595
54125	569
54125	590
54125	647
54136	568
54136	589
54136	607
54136	693
54164	512
54171	514
54172	469
54178	633
54205	460
54207	456
54208	496
54226	445
54234	626
54236	669
54237	471
54237	484
54257	443
54268	623
54268	644
54270	515
54278	500
54279	577
54279	598
54286	636
54287	635
54287	668
54290	442
54290	507
54291	439
54292	460
54293	453
54293	493
54294	460
54303	427
54305	427
54306	645
54307	496
54307	509
54313	429
54316	570
54316	591
54322	460
54329	641
54332	455
54333	496
54348	689
54353	428
54361	515
54372	626
54376	484
54376	515
54381	510
54382	481
54382	484
54403	430
54422	506
54442	430
54442	434
54443	459
54463	469
54476	453
54479	459
54481	431
54481	499
54483	437
54490	452
54507	490
54508	510
54509	438
54510	431
54513	512
54531	506
54534	447
54534	499
54535	443
54535	499
54540	446
54540	499
54549	443
54554	618
54554	674
54560	447
54560	499
54572	430
54580	436
54580	511
54581	492
54581	511
54584	648
54595	446
54595	492
54620	481
54624	459
54624	669
54632	657
54635	448
54636	468
54636	576
54636	597
54638	639
54645	436
54645	454
54646	445
54646	509
54647	435
54658	491
54666	435
54666	449
54666	501
54667	435
54667	443
54668	449
54678	435
54679	435
54679	443
54681	435
54684	519
54685	473
54685	501
54686	478
54695	498
54703	626
54703	636
54707	525
54722	654
54726	582
54726	603
54727	454
54727	478
54728	477
54730	468
54732	503
54737	435
54737	511
54738	433
54738	434
54739	449
54739	480
54741	439
54741	498
54742	491
54743	435
54746	437
54755	455
54757	575
54757	596
54762	439
54762	498
54763	439
54763	498
54765	498
54780	501
54784	499
54799	569
54799	590
54800	573
54800	594
54800	653
54801	577
54801	598
54809	634
54810	579
54810	600
54812	578
54812	599
54812	646
54814	570
54814	591
54814	674
54815	571
54815	592
54816	572
54816	593
54816	647
54817	576
54817	597
54817	636
54818	574
54818	595
54818	668
54819	575
54819	596
54819	668
54835	442
54835	456
54836	471
54836	507
54852	456
54852	461
54862	464
54864	452
54864	484
54865	443
54873	493
54874	471
54876	501
54881	703
54882	631
54882	669
54890	515
54892	478
54894	497
54895	446
54895	492
54897	443
54897	491
54898	484
54898	501
54900	575
54900	596
54910	506
54910	518
54915	639
54922	573
54922	594
54929	626
54929	669
54931	516
54932	473
54932	511
54936	469
54948	634
54948	684
54949	479
54949	584
54949	605
54960	471
54960	636
54962	445
54962	512
54965	501
54969	445
54969	473
54974	439
54981	452
54982	501
54990	455
54996	456
54996	461
54998	663
55004	444
55004	492
55009	445
55009	492
55017	438
55017	439
55018	454
55018	463
55020	500
55024	478
55028	443
55028	461
55029	449
55029	478
55030	437
55030	467
55031	493
55038	445
55038	461
55041	454
55041	478
55042	522
55044	438
55044	492
55045	440
55045	444
55046	461
55046	501
55047	446
55047	492
55048	572
55048	593
55052	515
55053	443
55053	460
55054	570
55054	582
55054	591
55054	603
55056	445
55056	453
55057	445
55057	453
55060	448
55063	443
55069	487
55082	445
55082	501
55085	438
55096	519
55101	447
55104	471
55104	507
55105	445
55113	512
55118	570
55118	591
55132	461
55134	450
55134	459
55137	666
55140	444
55149	494
55153	445
55153	456
55154	641
55158	658
55158	674
55166	505
55166	522
55178	440
55178	441
55182	441
55193	447
55196	441
55202	461
55202	511
55203	452
55203	461
55205	508
55212	441
55213	456
55216	468
55228	453
55228	485
55233	448
55233	515
55237	460
55238	444
55238	451
55238	453
55242	726
55242	737
55247	501
55254	443
55254	493
55255	443
55255	461
55265	448
55267	459
55267	572
55267	593
55281	661
55281	687
55287	456
55287	461
55289	454
55293	455
55302	501
55303	471
55303	484
55304	492
55304	511
55307	511
55314	459
55315	519
55320	454
55320	473
55321	445
55324	511
55326	581
55326	602
55330	447
55343	511
55344	453
55354	501
55357	453
55357	507
55364	510
55365	447
55365	512
55374	668
55385	464
55385	691
55386	568
55386	589
55389	456
55392	453
55393	501
55400	459
55401	475
55401	484
55406	458
55406	492
55407	458
55407	460
55409	454
55412	458
55412	492
55413	458
55419	456
55421	458
55423	456
55423	461
55426	517
55437	700
55438	455
55445	458
55445	492
55445	545
55446	458
55446	473
55447	458
55448	458
55448	492
55449	458
55453	468
55453	512
55455	683
55456	545
55458	458
55458	492
55462	447
55464	508
55468	460
55470	460
55474	484
55474	502
55475	568
55475	589
55475	607
55475	669
55480	669
55483	501
55486	625
55491	447
55493	614
55496	721
55506	454
55510	654
55510	669
55516	515
55519	492
55519	515
55525	512
55534	454
55540	501
55548	454
55553	454
55553	481
55554	480
55554	501
55558	459
55558	479
55559	460
55563	479
55566	459
55566	481
55567	635
55571	459
55579	459
55587	461
55587	472
55587	501
55589	579
55589	600
55589	668
55598	687
55603	515
55607	454
55609	461
55610	454
55611	454
55612	475
55612	484
55614	525
55628	459
55629	501
55630	459
55630	467
55634	484
55634	516
55635	492
55635	515
55636	500
55638	582
55638	603
55639	454
55642	454
55642	478
55643	454
55644	454
55646	456
55650	522
55652	456
55652	463
55655	454
55657	461
55657	501
55658	471
55663	501
55666	459
55667	459
55673	644
55681	503
55681	669
55686	658
55688	459
55692	486
55699	626
55702	451
55709	669
55712	477
55713	467
55713	502
55713	519
55713	521
55715	482
55716	460
55716	484
55720	448
55721	448
55726	471
55727	476
55731	636
55735	471
55740	472
55741	460
55744	515
55745	459
55746	459
55751	459
55763	519
55769	575
55769	596
55769	651
55774	460
55774	524
55775	471
55777	515
55779	461
55779	515
55782	459
55783	459
55784	482
55789	465
55792	485
55792	494
55795	476
55796	468
55797	471
55803	459
55807	460
55807	492
55808	459
55809	459
55811	457
55812	475
55812	519
55814	582
55814	603
55816	479
55816	515
55818	471
55818	492
55820	477
55822	460
55823	460
55824	460
55828	485
55828	519
55829	460
55831	482
55832	623
55833	665
55838	460
55841	473
55841	492
55841	515
55854	512
55855	635
55856	581
55856	602
55856	641
55865	459
55865	473
55869	465
55869	478
55870	479
55871	522
55876	460
55879	466
55881	459
55883	737
55885	494
55886	460
55889	460
55890	460
55890	473
55891	485
55891	503
55893	482
55894	464
55894	503
55895	626
55897	467
55897	524
55899	485
55899	519
55900	458
55900	460
55901	458
55901	460
55903	482
55904	507
55905	545
55906	475
55907	476
55907	481
55908	507
55909	575
55909	596
55911	476
55912	475
55914	626
55916	505
55917	479
55919	458
55921	522
55922	460
55922	464
55922	467
55927	485
55927	522
55928	458
55930	485
55930	503
55932	472
55933	699
55934	463
55934	481
55935	472
55937	482
55937	485
55938	472
55939	460
55941	466
55942	475
55943	475
55944	475
55946	463
55948	521
55949	493
55950	475
55950	484
55951	517
55952	480
55952	484
55953	480
55953	484
55956	517
55959	522
55960	507
55961	522
55962	507
55968	514
55969	482
55969	485
55970	472
55970	492
55974	522
55976	487
55979	723
55984	495
55984	579
55984	600
55988	472
55988	473
55990	517
55992	619
55998	525
56003	468
56010	514
56010	668
56012	514
56014	690
56015	626
56015	650
56026	525
56026	570
56026	591
56029	626
56029	690
56030	643
56032	480
56032	484
56042	494
56047	632
56056	519
56065	480
56068	468
56069	576
56069	597
56071	487
56078	494
56080	482
56083	475
56084	475
56088	658
56088	692
56091	468
56091	478
56096	717
56105	521
56106	480
56106	484
56114	583
56114	604
56117	578
56117	599
56118	507
56121	468
56121	504
56131	658
56143	477
56146	486
56152	467
56153	516
56159	505
56163	480
56163	509
56168	480
56169	524
56175	614
56176	465
56176	485
56178	516
56178	524
56180	467
56188	508
56190	467
56191	493
56197	674
56202	627
56206	481
56206	484
56211	468
56218	493
56219	482
56228	502
56228	520
56229	482
56239	645
56242	625
56243	479
56244	479
56249	571
56249	592
56253	484
56253	517
56255	484
56255	517
56256	484
56256	517
56261	480
56261	507
56262	468
56264	525
56264	588
56275	482
56278	520
56286	616
56293	632
56293	702
56296	468
56296	484
56300	484
56300	494
56305	524
56309	493
56311	517
56318	582
56318	603
56320	517
56328	493
56329	576
56329	597
56329	637
56330	668
56335	698
56341	519
56344	502
56346	502
56351	507
56354	657
56355	522
56356	487
56356	569
56356	590
56358	503
56367	570
56367	591
56376	484
56376	502
56377	623
56380	574
56380	595
56380	637
56386	482
56390	486
56390	489
56399	570
56399	591
56399	669
56414	505
56416	504
56417	583
56417	604
56420	484
56420	502
56423	519
56424	568
56424	589
56433	484
56433	522
